                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20250827"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168 
                            model_number                                 star_age                                star_mass                               log_xmstar                                star_mdot                             log_abs_mdot                                   log_dt                                num_zones               log_total_angular_momentum                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                         mix_relr_type_11                          mix_relr_top_11                         mix_relr_type_12                          mix_relr_top_12                         mix_relr_type_13                          mix_relr_top_13                         mix_relr_type_14                          mix_relr_top_14                         mix_relr_type_15                          mix_relr_top_15                         mix_relr_type_16                          mix_relr_top_16                         mix_relr_type_17                          mix_relr_top_17                         mix_relr_type_18                          mix_relr_top_18                         mix_relr_type_19                          mix_relr_top_19                         mix_relr_type_20                          mix_relr_top_20                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                            photosphere_r                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                   surf_avg_Lrad_div_Ledd                    rotational_mdot_boost            surf_r_equatorial_div_r_polar                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                               surface_h1                              surface_he4                              surface_li7                              surface_c12                              surface_n14                              surface_o16                             surface_ne20                             surface_mg24                             surface_al27                            total_mass_h1                           total_mass_he4                                       pp                                      cno                       c_log_eps_burn_cno                  c_log_eps_burn_tri_alfa                        v_div_csound_surf                              num_retries                          k_below_const_q                          q_below_const_q                             k_const_mass                             q_const_mass                                log_max_T 
                                       1                  1.1475506210984938E+002                  1.4999999204192486E+001                  3.4474769686574874E+001                 -6.9348358062298648E-009                 -8.1589638171130456E+000                  2.0597718523607966E+000                                     1155                 -9.8999999999999986E+001                  5.6234832485001718E+000                  3.7395799769518201E-001                  7.8142758042076821E-008                  4.1338301310115988E-001                  3.8080633982864376E-001                  4.1338301310115988E-001                  7.8142758042076821E-008                  9.9999999338715939E-001                  9.9999995570601830E-001                                        1                  3.7489890312316904E-001                                        3                  3.8011200121834710E-001                                        4                  3.8080633982864376E-001                                        1                  4.1518975520455897E-001                                        0                  9.9999995570601830E-001                                        1                  9.9999999369432868E-001                                        0                  9.9999999989707600E-001                                        1                  9.9999999998381495E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  2.5875303037147140E-001                                        3                  2.6046236204350087E-001                                        4                  2.6069007371452535E-001                                        1                  2.7189149289360665E-001                                        0                  9.7717372877363762E-001                                        1                  9.8818398807839158E-001                                        0                  9.9784951671785882E-001                                        1                  9.9941094512542916E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0095010430000739E+033                  1.5858324512729110E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7212019418842210E+000                 -2.8861463829759050E+001                 -1.1138109839567303E+001                  4.7212019418842210E+000                  4.4874228649554899E+000                  4.9419528331279547E+000                  1.9542088652314585E+004                  4.2909709791216661E+000                  6.9389859610248095E-001                  4.2261833972228562E+000                  1.6833847837029825E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.5337071261727422E+000                  7.8580501977829087E-001                  1.6496402421526152E+001                  6.2043221450134123E-001                  8.4950996827919134E-001                  1.2981004608479052E+000                  6.9901935421893047E-001                  2.8046888717737073E-001                  3.2267946343819052E-004                  4.7155834601103975E-003                  9.2819644285800779E-003                  7.0000000000000029E-001                  2.7997020236474901E-001                  0.0000000000000000E+000                  3.4416106108119994E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137500E-003                  0.0000000000000000E+000                  1.0493926447191145E+001                  4.2026305327578850E+000                  2.6987876420770460E+000                  4.7170577442105150E+000                  5.2502742310085004E+000                 -2.7547206095014076E+001                  8.3651841333157744E-007                                        0                                      131                  9.9999999711781962E-001                                      417                  9.9995291067160541E-001                  7.5337071261727422E+000 
                                       5                  7.0729574547581353E+002                  1.4999995861090358E+001                  3.4474769589782142E+001                 -5.3871368840682577E-009                 -8.2686419891393559E+000                  2.1370504362386411E+000                                     1052                 -9.8999999999999986E+001                  6.6719048089460067E+000                  4.4418511369893576E-001                  7.8142775805645215E-008                  4.6557443726719239E-001                  4.4895543116478015E-001                  4.6557443726719239E-001                  7.8142775805645215E-008                  9.9999999170620701E-001                  9.9999996239489752E-001                                        1                  4.4479377666048381E-001                                        3                  4.4850355316837431E-001                                        4                  4.4895543116478015E-001                                        1                  4.6588133579539948E-001                                        0                  9.9999996239489752E-001                                        1                  9.9999999178868382E-001                                        0                  9.9999999990394539E-001                                        1                  9.9999999998085687E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  2.8474412489820483E-001                                        3                  2.8595299834830379E-001                                        4                  2.8610066456956595E-001                                        1                  2.9161650025367114E-001                                        0                  9.7882910040956805E-001                                        1                  9.8731593366940396E-001                                        0                  9.9798874205021848E-001                                        1                  9.9934684519006156E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0953693927524903E+033                  1.2760199476697886E+034                  1.3953304405298271E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5365519499626378E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7296769721997629E+000                 -2.9341954955641132E+001                 -9.8999999999999986E+001                  4.7296769721997629E+000                  4.4817470308558960E+000                  4.9848932150586887E+000                  1.8870446199171081E+004                  4.2757821693513005E+000                  6.9765585941648367E-001                  4.2186687738021140E+000                  1.6545076280575828E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.5258393863784763E+000                  7.5813884758352368E-001                  1.6461339442147683E+001                  6.2039683600267714E-001                  8.4954517451982914E-001                  1.2980012407537067E+000                  6.9908922636364168E-001                  2.8042278351320965E-001                  4.8049283062669487E-004                  4.5250787016734798E-003                  9.2892663295879915E-003                  7.0000000000000007E-001                  2.7997020236474895E-001                  0.0000000000000000E+000                  3.4416106108119938E-003                  1.0081585468366041E-003                  9.3604466091399725E-003                  2.0994599496976479E-003                  4.0903242835137474E-003                  0.0000000000000000E+000                  1.0493613234494925E+001                  4.2027218169038552E+000                  2.9089208321650695E+000                  4.7230650161985501E+000                  5.2548900330119030E+000                 -2.8023173215124579E+001                  7.3645605554579892E-007                                        0                                      134                  9.9999999701160791E-001                                      402                  9.9994959317235210E-001                  7.5258393863784772E+000 
                                      10                  1.2386779664145363E+003                  1.4999993250168751E+001                  3.4474769514188189E+001                 -4.6853428380061404E-009                 -8.3292586252230105E+000                  2.1104181108329669E+000                                     1049                 -9.8999999999999986E+001                  7.3976551197240301E+000                  4.9054991065347620E-001                  7.8142789239343813E-008                  9.9999999087761249E-001                  9.9999996025185089E-001                  5.0139813637463315E-001                  7.8142789239343813E-008                  9.9999999087761249E-001                  9.9999996025185089E-001                                        1                  4.9317722990580720E-001                                        3                  4.9599342982100297E-001                                        4                  5.0311801169573078E-001                                        0                  9.9999996025185089E-001                                        1                  9.9999999113478399E-001                                        0                  9.9999999989557742E-001                                        1                  9.9999999997926914E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  3.0351945227455496E-001                                        3                  3.0444803324498709E-001                                        4                  3.0680105254776030E-001                                        0                  9.7877451923940073E-001                                        1                  9.8716902320269173E-001                                        0                  9.9793031539802168E-001                                        1                  9.9932178580891295E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6377049454781233E+033                  1.2403278653979420E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6171568002875079E+000                 -2.9792034746639846E+001                 -9.8999999999999986E+001                  4.6171568002875079E+000                  4.4760070133885623E+000                  5.0262127412917437E+000                  1.8196678170703381E+004                  4.2599921141496662E+000                  7.0124086675033614E-001                  4.2114986835404586E+000                  1.6274163825123886E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.5184757972329583E+000                  7.3345682302189796E-001                  1.6429586662660178E+001                  6.2038461607937145E-001                  8.4955779555659383E-001                  1.2979684051330538E+000                  6.9911430118854823E-001                  2.8039977417109324E-001                  4.9865757099767005E-004                  4.5006649080866559E-003                  9.2929481541439585E-003                  6.9999999999999973E-001                  2.7997020236474879E-001                  0.0000000000000000E+000                  3.4416106108119925E-003                  1.0081585468366037E-003                  9.3604466091399708E-003                  2.0994599496976492E-003                  4.0903242835137474E-003                  0.0000000000000000E+000                  1.0493332590051121E+001                  4.2027817423090497E+000                  2.8714862037139772E+000                  4.6092855559708754E+000                  5.1417230055117091E+000                 -2.8470285270013608E+001                  7.1180465118784707E-007                                        0                                      136                  9.9999999679974871E-001                                      405                  9.9994619547801034E-001                  7.5184757972329583E+000 
                                      15                  2.1163107948640604E+003                  1.4999989419572728E+001                  3.4474769403281009E+001                 -4.2344868460091130E-009                 -8.3731992118857281E+000                  2.3883715219723745E+000                                     1043                 -9.8999999999999986E+001                  7.1514696524057220E+000                  4.7397907568726394E-001                  7.8142808668246744E-008                  9.9999999027386255E-001                  9.9999995853938417E-001                  4.7815763633620523E-001                  7.8142808668246744E-008                  9.9999999027386255E-001                  9.9999995853938417E-001                                        1                  4.7676497978552779E-001                                        3                  4.7954732678025702E-001                                        0                  9.9999995853938417E-001                                        1                  9.9999999061428513E-001                                        0                  9.9999999988895516E-001                                        1                  9.9999999997796774E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  2.9953673559415112E-001                                        3                  3.0045610182182420E-001                                        0                  9.7870872176276857E-001                                        1                  9.8704910864524920E-001                                        0                  9.9788644705687712E-001                                        1                  9.9930172742159262E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7015142717095296E+033                  1.1580357179465700E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3828898463316746E+000                 -3.0095900661319856E+001                 -1.0837079843903322E+001                  4.3828898463316746E+000                  4.4718580029034358E+000                  5.0610653830421315E+000                  1.7758171036667754E+004                  4.2493982345515109E+000                  7.0424194792151007E-001                  4.2054964102909329E+000                  1.6050789910841608E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.5135076360031805E+000                  7.1810327322652734E-001                  1.6409300488023622E+001                  6.2040348871473028E-001                  8.4954003878865014E-001                  1.2980245454704360E+000                  6.9907912311993547E-001                  2.8040854125619408E-001                  3.3317928321546889E-004                  4.6948592155531804E-003                  9.2916495197965278E-003                  6.9999999999999962E-001                  2.7997020236474873E-001                  0.0000000000000000E+000                  3.4416106108119933E-003                  1.0081585468366045E-003                  9.3604466091399725E-003                  2.0994599496976462E-003                  4.0903242835137492E-003                  0.0000000000000000E+000                  1.0493044452909427E+001                  4.2028575896235330E+000                  2.6275756329214519E+000                  4.3751929996160532E+000                  4.9118383731700348E+000                 -2.8771388148635815E+001                  4.4252508973155626E-007                                        0                                      136                  9.9999999679974871E-001                                      406                  9.9994555197947466E-001                  7.5135076360031787E+000 
                                      20                  4.3001421145515797E+003                  1.4999980243487391E+001                  3.4474769137605861E+001                 -4.2985993759405906E-009                 -8.3666730286968640E+000                  2.7842777522104987E+000                                     1037                 -9.8999999999999986E+001                  5.6806864954794989E+000                  3.7703547604735332E-001                  7.8142855408636080E-008                  9.9999999034255016E-001                  9.9999995773001438E-001                  3.7871293183508742E-001                  7.8142855408636080E-008                  9.9999999034255016E-001                  9.9999995773001438E-001                                        1                  3.7871293183508742E-001                                        3                  3.8164321541318702E-001                                        0                  9.9999995773001438E-001                                        1                  9.9999999047278898E-001                                        0                  9.9999999988662469E-001                                        1                  9.9999999997753253E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  2.6363257574181770E-001                                        3                  2.6460434744812777E-001                                        0                  9.7839374243252619E-001                                        1                  9.8689728220863293E-001                                        0                  9.9785353578089775E-001                                        1                  9.9929198163898914E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5571014809381754E+033                  1.0502963284380201E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1241722439432342E+000                 -2.9976500644798559E+001                 -9.8999999999999986E+001                  4.1241722439432342E+000                  4.4734528199022314E+000                  5.0907729799427264E+000                  1.8233123239584431E+004                  4.2608610674228258E+000                  7.0678373035957665E-001                  4.2004125797396492E+000                  1.5863995563372022E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.5153645326123222E+000                  7.2856008753055090E-001                  1.6421055218313352E+001                  6.2043483129030941E-001                  8.4950962501789928E-001                  1.2981147907922834E+000                  6.9901876542147368E-001                  2.8043761727939809E-001                  1.3375399984295031E-004                  4.9313464461283492E-003                  9.2872787769692176E-003                  7.0000000000000018E-001                  2.7997020236474890E-001                  0.0000000000000000E+000                  3.4416106108119929E-003                  1.0081585468366041E-003                  9.3604466091399725E-003                  2.0994599496976501E-003                  4.0903242835137474E-003                  0.0000000000000000E+000                  1.0492652917868822E+001                  4.2030378925910075E+000                  2.3156848695533223E+000                  4.1173693461570551E+000                  4.6659501205691232E+000                 -2.8648975107905656E+001                  2.3256136954598426E-007                                        0                                      137                  9.9999999658923622E-001                                      407                  9.9994436596880731E-001                  7.5153645326123204E+000 
