                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                         "12778"          1.2300000000000001E+001          4.2999999999999998E+000          1.5000000000000000E+001                       "gfortran"                          "9.2.0"            "x86_64-linux-20.3.2"                       "20201015" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             100          7.0645333647653833E+006          1.5022432780412837E+001          6.5324308284094030E+001          5.7053502802316828E+001          1.6303504046459227E+002          3.0816932227127168E+001          1.9120195702576556E+001         -8.2000535152335274E-001         -1.0000000000000000E+000          1.2287600928321591E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.6560529307050835E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.6560529307050835E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3401486609881017E+053         -9.3573474107245732E+035          0.0000000000000000E+000          0.0000000000000000E+000         -9.3573474107245732E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          8.2352339664887413E+006          1.5027382413828848E+001          6.5335068954190263E+001          5.7053502910677445E+001          1.6299879140830555E+002          3.0820719579334906E+001          1.9124459373054687E+001         -8.1159609817494149E-001         -1.0000000000000000E+000          1.2284868891451410E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.6160797963674849E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.6160797963674849E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3397831591043219E+053         -1.0262873098603918E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.0262873098603918E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          9.3217497700920310E+006          1.5032405931604018E+001          6.5345988438568980E+001          5.7053503022242744E+001          1.6296201955663045E+002          3.0824562526702717E+001          1.9128786263011559E+001         -8.0231926918179286E-001         -1.0000000000000000E+000          1.2282097451936005E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.5783886247114687E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.5783886247114687E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3394122625566677E+053         -1.1197093084996138E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1197093084996138E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             115          1.0322967857403314E+007          1.5037430386324980E+001          6.5356908134652627E+001          5.7053503133804874E+001          1.6292525927966599E+002          3.0828405245314599E+001          1.9133113531554720E+001         -7.9205263381002899E-001         -1.0000000000000000E+000          1.2279326884793209E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -8.5446494708182268E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.5446494708182268E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3390413588176987E+053         -1.2105690859969357E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.2105690859969357E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             120          1.1204610895791018E+007          1.5061395537372290E+001          6.5408964651202993E+001          5.7053507318130272E+001          1.6275016621308171E+002          3.0846719131333391E+001          1.9153747460656138E+001         -7.8126662938638303E-001         -1.0000000000000000E+000          1.2266129596801543E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.4362401770247413E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.4362401770247413E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3372724915421627E+053         -1.5562900499543595E+037          0.0000000000000000E+000          0.0000000000000000E+000         -1.5562900499543595E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             125          1.1927321649002369E+007          1.5118717247278578E+001          6.5533307137634992E+001          5.7053521788743815E+001          1.6233304198573836E+002          3.0890434661811543E+001          1.9203061952753373E+001         -7.7115307959762314E-001         -1.0000000000000000E+000          1.2234688738818408E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.3465865588860879E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.3465865588860879E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3330465181616313E+053         -1.9204106708424815E+037          0.0000000000000000E+000          0.0000000000000000E+000         -1.9204106708424815E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             130          1.2549793876704026E+007          1.5172461960067588E+001          6.5649676936157078E+001          5.7053534438228219E+001          1.6194409889507040E+002          3.0931311853406033E+001          1.9249248862369924E+001         -7.6098923459712464E-001         -1.0000000000000000E+000          1.2205372236890078E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.3140174848205612E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.3140174848205612E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3290916759959093E+053         -2.0773251914807549E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.0773251914807549E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             135          1.3106016183395682E+007          1.5224297146946629E+001          6.5761717320469657E+001          5.7053546150004038E+001          1.6157092888856474E+002          3.0970635882761876E+001          1.9293748939408182E+001         -7.5038652170912512E-001         -1.0000000000000000E+000          1.2177244730663935E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.2842406794259533E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.2842406794259533E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3252840562163510E+053         -2.2323519434386910E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.2323519434386910E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             140          1.3606614316652622E+007          1.5274344936979073E+001          6.5869713673479922E+001          5.7053557019641346E+001          1.6121243179296516E+002          3.1008510493818470E+001          1.9336672058720925E+001         -7.3928162411120457E-001         -1.0000000000000000E+000          1.2150223280050769E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.2568572260172948E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.2568572260172948E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3216139481027500E+053         -2.3854571756727487E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.3854571756727487E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             145          1.4057270151746726E+007          1.5322411578273661E+001          6.5973268772515738E+001          5.7053567003456827E+001          1.6086978194359327E+002          3.1044799883599712E+001          1.9377856944387695E+001         -7.2760474701997924E-001         -1.0000000000000000E+000          1.2124396399536929E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.2317709654541069E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.2317709654541069E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3180948516726946E+053         -2.5352603567781314E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.5352603567781314E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             150          1.4465410174972137E+007          1.5368620591454757E+001          6.6072668973708346E+001          5.7053576193435667E+001          1.6054189224146063E+002          3.1079607789889611E+001          1.9417414191341997E+001         -7.1527547438001959E-001         -1.0000000000000000E+000          1.2099682135573246E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.2086122327622446E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.2086122327622446E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3147170237796754E+053         -2.6821879199084877E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.6821879199084877E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             155          1.4833019804943042E+007          1.5412598092672763E+001          6.6167130521370325E+001          5.7053584485496224E+001          1.6023120863231733E+002          3.1112663208406815E+001          1.9455028544642577E+001         -7.0239380923428285E-001         -1.0000000000000000E+000          1.2076264854035875E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.1873664576207386E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.1873664576207386E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3115071043005656E+053         -2.8247243037569612E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.8247243037569612E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             160          1.5164333954085164E+007          1.5454283283729776E+001          6.6256544200131728E+001          5.7053591907455939E+001          1.5993794560506242E+002          3.1143931505911201E+001          1.9490653027948916E+001         -6.8882533598191387E-001         -1.0000000000000000E+000          1.2054160712918993E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.1680796632966413E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.1680796632966413E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3084687976473064E+053         -2.9609835041977366E+037          0.0000000000000000E+000          0.0000000000000000E+000         -2.9609835041977366E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             165          1.5465618504736388E+007          1.5493983395052435E+001          6.6341588082401600E+001          5.7053598616575186E+001          1.5965974999581977E+002          3.1173652995131231E+001          1.9524554696655510E+001         -6.7450915712062920E-001         -1.0000000000000000E+000          1.2033192324919755E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.1503107405457795E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.1503107405457795E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3055790437546545E+053         -3.0925677957462230E+037          0.0000000000000000E+000          0.0000000000000000E+000         -3.0925677957462230E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             170          1.5740384204429811E+007          1.5531764477252878E+001          6.6422420157672263E+001          5.7053604672042503E+001          1.5939599390533635E+002          3.1201885658573399E+001          1.9556793836772314E+001         -6.5948592413362828E-001         -1.0000000000000000E+000          1.2013312353054680E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.1341111624922888E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.1341111624922888E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3028324655106165E+053         -3.2179301180559340E+037          0.0000000000000000E+000          0.0000000000000000E+000         -3.2179301180559340E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             175          1.5993193706805259E+007          1.5567903541541590E+001          6.6499647359603912E+001          5.7053610194926783E+001          1.5914460075486471E+002          3.1228843872801090E+001          1.9587610190223106E+001         -6.4370727408738537E-001         -1.0000000000000000E+000          1.1994364263854562E+001          4.2999999999999998E+000         -9.8999999999999986E+001         -7.1193597266259205E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.1193597266259205E+000         -9.8999999999999986E+001          0.0000000000000000E+000          6.3002084258273239E+053         -3.3368559854536105E+037          0.0000000000000000E+000          0.0000000000000000E+000         -3.3368559854536105E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
